x,Reverse y,y
7.2,3.1,1.9
6.6,2.9,2.1
6.5,2.5,2.5
6.7,2.1,2.9
6.8,1.85,3.15
6.7,1.8,3.2
6.75,1.7,3.3
6.7,1.7,3.3
6.75,1.6,3.4
6.65,1.5,3.5
6.55,1.55,3.45
6.5,1.45,3.55
6.4,1.4,3.6
6.45,1.3,3.7
6.2,1.3,3.7
6.35,1.25,3.75
6.15,1.2,3.8
6.1,1.3,3.7
6.1,1.22,3.78
6,1.35,3.65
6.1,1.4,3.6
6,1.45,3.55
5.85,1.4,3.6
5.85,1.5,3.5
5.75,1.5,3.5
5.8,1.6,3.4
5.9,1.65,3.35
5.75,1.75,3.25
6,2.1,2.9
5.9,2.45,2.55
5.45,2.7,2.3
5.1,2.5,2.5
4.95,2.65,2.35
5.2,2.8,2.2
5.2,2.7,2.3
5.1,2.65,2.35
5.15,2.6,2.4
5.2,2.6,2.4
5.3,2.7,2.3
5.35,2.65,2.35
5.4,2.8,2.2
5.25,3.1,1.9
5.3,3.35,1.65
5.25,3.55,1.45
5.4,3.75,1.25
5.35,3.95,1.05
5.45,3.95,1.05
5.4,4,1
5.3,4.05,0.95
5.4,4.15,0.85
5.45,4.1,0.9
5.55,4.1,0.9
5.6,4,1
5.65,4.1,0.9
5.5,4.05,0.95
5.6,3.9,1.1
5.7,4,1
5.8,3.85,1.15
6.05,3.8,1.2
6.1,3.55,1.45
6.35,3.4,1.6
6.4,3.1,1.9
6.65,3.15,1.85
7,3.1,1.9
7.2,3.15,1.85